CompanynameLatinalphabet,year,NACERev2corecode4digits,Tickersymbol,ISINnumber,Dateofincorporation,Latitude_new,Longitude_new,state,start_sup,end_sup,duration_days_sup,revenue_percent_sup,SOURCE_name_sup,SOURCE_ticker_sup,SOURCE_cusip_sup,SOURCE_isin,SOURCE_sedol,SOURCE_gind,SOURCE_gsubind,SOURCE_latitude,SOURCE_longitude,longorshort_sup,start_cus,end_cus,duration_days_cus,revenue_percent_cus,TARGET_name_cus,TARGET_ticker_cus,TARGET_cusip_cus,TARGET_isin,TARGET_sedol,longorshort_cus,TARGET_gind,TARGET_gsubind,TARGET_latitude,TARGET_longitude
CROMA SECURITY SOLUTIONS GROUP PLC,2014,2651,CSSG,GB00B5MJV178,12apr1996,50.877333,-1.254784,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOCH & HOUSEGO PLC,2013,2670,GHH,GB0002259116,12dec1953,50.916624,-2.914079,1,26feb2013,28feb2023,3654,,IDEX Corp.,IEX,45167R104,US45167R1041,2456612,,,,,2,,,,,,,,,,,,,,
AFC ENERGY PLC,1997,2712,AFC,GB00B18S7B29,2006,51.11987,-.532841,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVF HOLDCO (UK) LIMITED,1999,2611,ARM,GB0000595859,1990,52.181766,.178906,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOUCHSTAR PLC,2002,2620,TST,GB00BD9YDB55,1904,55.860531,-4.249812,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4 PHARMA PLC,2008,2620,N4P,GB00BYW8QM32,1979,51.512066,-.084791,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAVE BISON GROUP PLC,2003,2630,BBSN,GB00BF8HJ774,2013,51.513419,-.12457,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTA PLUS PLC,2002,2790,DCTA,GB00BSM98843,2003,51.507565,-.136411,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSAIC SYSTEMS PLC,2005,2611,MSYS,GB00BMWC8365,1998,51.326314,-.54725,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSAIC SYSTEMS PLC,1996,2611,MSYS,GB00BMWC8365,1998,51.326314,-.54725,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCOVERIE GROUP PLC,2014,2611,DSCV,GB0000055888,09apr1986,51.239613,-.613774,1,23apr2014,23apr2014,0,,SFC Energy AG,F3C,D8288L113,DE0007568578,B12DGD8,201040,20104010,48.041351,11.6653,1,,,,,,,,,,,,,,
DISCOVERIE GROUP PLC,2009,2611,DSCV,GB0000055888,09apr1986,51.239613,-.613774,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAGE SCAN HOLDINGS PLC,2006,2670,IGE,GB0031410581,31may1995,52.741504,-1.123748,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIALIGHT PLC,2010,2611,DIA,GB0033057794,28mar1990,51.515264,-.083994,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATENAI PLC,2009,2630,CTEA,GB0033127910,2003,51.520593,-.122185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MTL INSTRUMENTS GROUP LIMITED,2014,2651,MTI,GB0005507768,14dec1984,51.911783,-.388014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITHS GROUP PLC,2006,2651,SMIN,GB00B1WY2338,15jul1914,51.507565,-.136411,1,19jul2006,19jul2006,0,,nan,nan,nan,nan,BPTK4T2,,,,,1,,,,,,,,,,,,,,
MELROSE PLC,2015,2651,MRO,GB00B464F978,13may2003,52.483806,-1.895931,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
